Gene_Name,T4.CM,T8.EM,Treg.naive,mDC,pDC,Mono.classical,Mono.nonclassical
TNFRSF4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TNFRSF14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TNFRSF9,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
TNFRSF8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TNFRSF1B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPHA2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPHB2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PTPRF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TGFBR3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
VCAM1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CSF1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD58,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CD2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEMA4A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
SLAMF6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SLAMF1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD244,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
F11R,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
SELP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SELL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FASLG,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PIGR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CR2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD46,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD8A,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SEMA4C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGA4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CD28,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CTLA4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
ICOS,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
EPHA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PDCD1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ALCAM,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CD47,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CD96,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD200,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
BTLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CD200R1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TIGIT,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CD80,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
CD86,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
PLXND1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
EPHB1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF10,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
IL1RAP,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CSF1R,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
FGFR4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HLA-F,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-G,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HLA-E,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRR3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNF,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HLA-DRA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-DRB1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-DR1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PI16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
