Gene_Name,B.plasma,T4.CM,T8.EM,Treg.naive,mDC,Mono.classical,Mono.nonclassical
TNFRSF4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
TNFRSF14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TNFRSF9,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
TNFRSF8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF1B,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EPHA2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPHB2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PTPRF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TGFBR3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
VCAM1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CSF1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CD58,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CD160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEMA4A,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
SLAMF6,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
SLAMF1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD48,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD244,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
F11R,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SELP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SELL,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
FASLG,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TNFSF4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
