Gene_Name,B.memory,B.plasma,T4.CM,T8.EM,Treg.naive,mDC,pDC,Mono.nonclassical
TNFRSF4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
TNFRSF14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
TNFRSF9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
TNFRSF8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF1B,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
EPHA2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPHB2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PTPRF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TGFBR3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VCAM1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CSF1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CD58,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
CD2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEMA4A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLAMF6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SLAMF1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
CD48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
F11R,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SELP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
