GeneNames,B.memory_steady-state,B.memory_activated,B.naive_steady-state,B.naive_activated,B.plasma_steady-state,Treg.memory_steady-state,Treg.memory_activated,Treg.naive_steady-state,Treg.naive_activated,T4.naive_steady-state,T4.naive_activated,T4.CM_steady-state,T4.CM_activated,T4.EM_steady-state,T4.EM_activated,T4.EMRA_steady-state,T4.EMRA_activated,Th1_steady-state,Th17_steady-state,Th2_steady-state,T8.naive_steady-state,T8.naive_activated,T8.CM_steady-state,T8.CM_activated,T8.EM_steady-state,T8.EM_activated,T8.EMRA_steady-state,T8.EMRA_activated,mDC_steady-state,mDC_activated,pDC_steady-state,pDC_activated,Mono.classical_steady-state,Mono.classical_activated,Mono.intermediate_steady-state,Mono.nonclassical_steady-state,NK.bright_steady-state,NK.bright_activated,NK.dim_steady-state,NK.dim_activated,Basophil_steady-state,Eosinophil_steady-state,Neutrophil_steady-state
ALCAM,7838.75,66594.25,3514,112626.75,34161.75,14206.5,5400,7480.5,22978.33333,5194.5,15472.75,23214,16231.5,27395.5,18035.625,32181.75,21557,10279.5,17199,12370,12469.25,22336.25,10255.75,4440.5,15599.25,11829.125,17149,11021.75,162587,650894.5,62643.75,81327.75,7846,121716,16882,36907.5,21807.25,1501.333333,12678.5,11165.33333,3802.75,4811.25,11440.5
APLP2,0,0,91.25,0,156.25,0,0,18.5,0,156.75,0,0,0,170.625,0,62.75,0,121.5,33.25,265.5,0,36.75,33,81.25,121.375,116.25,167.25,0,0,0,0,318.5,2842.25,0,2378.75,9410,0,170,152,72.33333333,802.5,104.5,0
APP,144.25,545.5,312.25,322.5,1973.25,107.75,261.6666667,2215,68,35.75,258.25,76.75,2128,628.25,273.25,1185.5,169.5,787.125,65,385,29.75,396.25,70.25,112.75,59.125,515,65,387,274,9545.5,83052,4868,3850,281,2146.5,3720.75,114.25,127,52.25,193.3333333,679,28,19597.75
BST2,64236.75,81021.5,45182.75,36762.75,104107.5,27278.5,5757,30770.75,265190,27513.25,78992,11935.75,241421.5,24100.375,440870.875,25549.75,504690,28364.5,15429.25,31425.25,13048.75,104650.25,13000.5,148679.5,38813.375,104346.375,50683.75,116620.5,179666.75,185647.25,80127.75,361081.25,80463,49452.33333,237125.25,102796,76939,59284.33333,46165,200600.6667,54334.25,51686.5,135115
BTLA,41202.75,17328.75,62134.5,40962.75,8332.75,1442,997.6666667,2747,6070,13385.5,28195.25,7859.75,3387.5,15266.625,3889.875,22422.75,3685.75,11139.75,13101.25,10286.25,6505.25,32545,7006.25,8048.25,4679,2917.125,4855.25,1032.75,3930.5,3576.5,18096.25,6172.25,2392.75,1699.333333,11951.75,2712,3075.75,2522.666667,1785.75,15180,829.75,1736.25,3522
CADM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD160,0,0,0,0,0,0,0,0,0,0,0,0,0,1766.875,0,2414,0,0,0,0,0,3906,324.25,539.75,11336,0,17011,0,0,0,881,0,0,0,320.75,0,2784.75,0,38907,0,0,0,0
CD177,0,0,37.75,0,0,0,0,0,0,53,858.5,0,0,34.125,0,0,0,271.625,518.5,1120.25,0,525.75,14.75,268,0,309.75,0,0,0,0,68,0,434.5,0,597,0,136.5,622.6666667,0,0,0,14102,12947350.5
CD2,1318,0,2687.5,1510.75,139.75,90406.5,77812.66667,36722.5,410340,45234.75,79078.75,61051.5,265503,74573.375,240009.125,67115.75,160118.25,114461.25,75874.5,55713.5,35363,81457.75,122122.25,300216.75,114600,113705.375,78690,97941.25,12455.25,11457.25,3301.5,6359.75,7931.75,0,9416.25,3599.5,252752.5,142411.3333,64443.75,58129.33333,776.75,14588.75,37697.75
CD200,7628,6486,5819.25,14226.75,1387,9269.75,0,2680.75,20309.66667,534,16257.25,1454.5,9871.5,845.375,10297.75,169,8217.25,4289.625,2825.75,153.75,3017.25,28734,6632,13066,6496.75,5289.125,12993.5,4433.25,2594.75,19123,10438.5,5654,0,0,8873.5,26077,30251.5,7933.666667,3044.25,2369,376.75,1585.5,0
